<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.11	09:00:00	1883.911	1886.576	1883.272	1884.599	5439	0	200
2023.01.11	10:00:00	1884.612	1885.712	1882.478	1884.733	3901	0	200
2023.01.11	11:00:00	1884.766	1885.988	1882.850	1883.006	3675	0	200
2023.01.11	12:00:00	1882.975	1883.268	1875.733	1877.181	5722	0	200
2023.01.11	13:00:00	1877.215	1880.228	1875.856	1877.534	6746	0	200
2023.01.11	14:00:00	1877.568	1879.046	1870.327	1871.690	9153	0	200
2023.01.11	15:00:00	1871.657	1873.709	1869.264	1872.005	7863	0	200
2023.01.11	16:00:00	1871.995	1874.417	1866.893	1873.025	6241	0	200
2023.01.11	17:00:00	1873.055	1876.302	1872.843	1873.809	4362	0	200
2023.01.11	18:00:00	1873.778	1877.853	1873.104	1877.778	5581	0	200
2023.01.11	19:00:00	1877.812	1878.463	1876.888	1877.694	3151	0	200
2023.01.11	20:00:00	1877.710	1878.045	1875.657	1876.473	2716	0	200
2023.01.11	21:00:00	1876.504	1877.177	1875.523	1875.742	1545	0	200
2023.01.11	23:00:00	1874.929	1877.742	1874.466	1876.939	2485	0	200
2023.01.12	00:00:00	1876.935	1878.324	1875.822	1877.592	3200	0	200
2023.01.12	01:00:00	1877.625	1881.062	1877.264	1880.503	3877	0	200
2023.01.12	02:00:00	1880.506	1884.711	1880.206	1883.640	3755	0	200
2023.01.12	03:00:00	1883.644	1884.504	1882.056	1883.556	2702	0	200
2023.01.12	04:00:00	1883.523	1884.845	1882.996	1884.411	2189	0	200
2023.01.12	05:00:00	1884.442	1884.961	1883.321	1883.617	2768	0	200
2023.01.12	06:00:00	1883.614	1884.364	1882.015	1883.186	2837	0	200
2023.01.12	07:00:00	1883.153	1884.165	1879.851	1882.439	4345	0	200
2023.01.12	08:00:00	1882.470	1883.295	1881.389	1882.059	4143	0	200
2023.01.12	09:00:00	1882.053	1885.348	1881.156	1884.322	3973	0	200
2023.01.12	10:00:00	1884.289	1884.439	1882.492	1884.298	3566	0	200
2023.01.12	11:00:00	1884.328	1886.221	1884.042	1885.138	3245	0	200
2023.01.12	12:00:00	1885.107	1889.992	1884.769	1887.429	4661	0	200
2023.01.12	13:00:00	1887.401	1901.404	1873.233	1899.603	23186	0	200
2023.01.12	14:00:00	1899.633	1901.325	1879.757	1882.410	19543	0	200
2023.01.12	15:00:00	1882.440	1890.534	1880.393	1888.811	13300	0	200
2023.01.12	16:00:00	1888.808	1893.841	1888.359	1892.530	7300	0	200
2023.01.12	17:00:00	1892.551	1898.655	1891.726	1897.668	5887	0	200
2023.01.12	18:00:00	1897.680	1899.092	1894.045	1898.866	6220	0	200
2023.01.12	19:00:00	1898.896	1899.509	1895.702	1897.747	4276	0	200
2023.01.12	20:00:00	1897.716	1898.753	1894.191	1898.366	3989	0	200
2023.01.12	21:00:00	1898.398	1899.478	1896.780	1896.815	1870	0	200
2023.01.12	23:00:00	1895.701	1898.535	1895.492	1898.023	2408	0	200
2023.01.13	00:00:00	1897.993	1900.916	1897.076	1898.073	4075	0	200
2023.01.13	01:00:00	1898.039	1899.389	1896.063	1898.713	4886	0	200
2023.01.13	02:00:00	1898.688	1899.844	1895.957	1898.143	4377	0	200
2023.01.13	03:00:00	1898.140	1898.504	1897.207	1897.826	2820	0	200
2023.01.13	04:00:00	1897.815	1898.402	1895.864	1895.936	2593	0	200
2023.01.13	05:00:00	1895.944	1896.479	1892.282	1893.622	3309	0	200
2023.01.13	06:00:00	1893.621	1897.226	1893.473	1896.014	4076	0	200
2023.01.13	07:00:00	1896.029	1899.863	1894.812	1899.525	5358	0	200
2023.01.13	08:00:00	1899.557	1909.644	1897.951	1906.414	7555	0	200
2023.01.13	09:00:00	1906.405	1908.874	1903.138	1904.246	4982	0	200
2023.01.13	10:00:00	1904.279	1906.234	1903.950	1905.979	3981	0	200
2023.01.13	11:00:00	1905.948	1906.921	1898.852	1899.508	4788	0	200
2023.01.13	12:00:00	1899.476	1901.378	1893.730	1896.544	6189	0	200
2023.01.13	13:00:00	1896.511	1900.145	1893.618	1899.965	8295	0	200
2023.01.13	14:00:00	1899.995	1912.098	1899.104	1911.595	9374	0	200
2023.01.13	15:00:00	1911.514	1916.193	1906.506	1913.666	10002	0	200
2023.01.13	16:00:00	1913.635	1914.479	1909.403	1912.201	6060	0	200
2023.01.13	17:00:00	1912.224	1917.761	1910.952	1916.836	5026	0	200
2023.01.13	18:00:00	1916.806	1921.854	1916.704	1919.629	5034	0	200
2023.01.13	19:00:00	1919.663	1921.572	1919.176	1919.966	3885	0	200
2023.01.13	20:00:00	1919.990	1921.422	1918.995	1920.673	2998	0	200
2023.01.13	21:00:00	1920.637	1921.061	1918.438	1920.251	1899	0	200
2023.01.15	23:00:00	1919.066	1920.450	1916.844	1916.893	2928	0	200
2023.01.16	00:00:00	1916.904	1919.849	1916.749	1919.001	3200	0	200
2023.01.16	01:00:00	1919.004	1924.445	1918.269	1924.133	5124	0	200
2023.01.16	02:00:00	1924.099	1928.722	1922.719	1928.329	4066	0	200
2023.01.16	03:00:00	1928.362	1928.951	1924.631	1926.338	2793	0	200
2023.01.16	04:00:00	1926.340	1926.994	1921.955	1922.303	2334	0	200
2023.01.16	05:00:00	1922.297	1922.360	1916.934	1919.448	3408	0	200
2023.01.16	06:00:00	1919.478	1920.798	1913.343	1915.772	3978	0	200
2023.01.16	07:00:00	1915.730	1917.536	1913.566	1917.110	4181	0	200
2023.01.16	08:00:00	1917.067	1917.067	1910.813	1911.649	4855	0	200
2023.01.16	09:00:00	1911.653	1917.840	1911.552	1917.525	4068	0	200
2023.01.16	10:00:00	1917.509	1917.773	1914.768	1915.542	3619	0	200
2023.01.16	11:00:00	1915.565	1919.275	1915.565	1916.532	3399	0	200
2023.01.16	12:00:00	1916.501	1917.180	1914.611	1914.851	3630	0	200
2023.01.16	13:00:00	1914.820	1915.141	1911.334	1913.336	5363	0	200
2023.01.16	14:00:00	1913.368	1915.906	1912.523	1915.308	4191	0	200
2023.01.16	15:00:00	1915.281	1917.034	1914.702	1915.965	3512	0	200
2023.01.16	16:00:00	1915.982	1916.066	1913.530	1913.530	2987	0	200
2023.01.16	17:00:00	1913.546	1914.007	1912.765	1913.831	1954	0	200
2023.01.16	18:00:00	1913.801	1914.498	1913.700	1914.329	834	0	200
2023.01.16	19:00:00	1914.363	1915.401	1913.910	1915.197	353	0	345
2023.01.16	23:00:00	1914.926	1918.284	1914.918	1917.856	1507	0	200
2023.01.17	00:00:00	1917.882	1918.996	1916.862	1918.246	2729	0	200
2023.01.17	01:00:00	1918.227	1918.830	1912.840	1912.991	4435	0	200
2023.01.17	02:00:00	1913.023	1916.231	1909.315	1910.673	4228	0	200
2023.01.17	03:00:00	1910.641	1911.322	1909.413	1910.221	3163	0	200
2023.01.17	04:00:00	1910.229	1911.871	1907.950	1911.300	2671	0	200
2023.01.17	05:00:00	1911.331	1913.205	1909.061	1911.022	3072	0	200
2023.01.17	06:00:00	1911.013	1911.914	1906.949	1907.200	3642	0	200
2023.01.17	07:00:00	1907.233	1910.527	1907.185	1910.003	4499	0	200
2023.01.17	08:00:00	1909.985	1911.892	1908.780	1909.502	4612	0	200
2023.01.17	09:00:00	1909.533	1910.513	1905.816	1906.544	4185	0	200
2023.01.17	10:00:00	1906.522	1907.884	1904.211	1906.202	4166	0	200
2023.01.17	11:00:00	1906.171	1912.576	1906.003	1912.496	3713	0	200
2023.01.17	12:00:00	1912.504	1913.832	1908.012	1909.356	4984	0	200
2023.01.17	13:00:00	1909.315	1914.398	1907.033	1912.951	7262	0	200
2023.01.17	14:00:00	1912.984	1916.580	1911.303	1913.475	8433	0	200
2023.01.17	15:00:00	1913.509	1915.687	1908.999	1911.007	9852	0	200
2023.01.17	16:00:00	1911.029	1913.284	1909.547	1912.056	5704	0	200
2023.01.17	17:00:00	1912.051	1912.416	1905.102	1907.115	4925	0	200
2023.01.17	18:00:00	1907.148	1907.907	1904.583	1905.525	4188	0	200
2023.01.17	19:00:00	1905.556	1909.315	1903.633	1907.881	3909	0	200
2023.01.17	20:00:00	1907.851	1910.752	1907.482	1909.145	4540	0	200
2023.01.17	21:00:00	1909.115	1909.115	1907.818	1908.556	1570	0	200
2023.01.17	23:00:00	1908.192	1908.958	1907.694	1908.691	1459	0	200
2023.01.18	00:00:00	1908.674	1909.171	1906.711	1907.311	2565	0	200
2023.01.18	01:00:00	1907.287	1908.983	1906.320	1908.699	3759	0	200
2023.01.18	02:00:00	1908.698	1910.319	1900.770	1904.036	8515	0	200
2023.01.18	03:00:00	1904.068	1905.362	1899.183	1900.092	5517	0	200
